sentence	type	point
giao thiếu 1b 80k mà im re nagative	NEG	1
sản phr rất ưng ý positive	POS	5
chất lượng sản phẩm tuyệt vời positive positive	POS	5
mua lần 2 rồi positive	POS	5
ngực em cuzng bitnhf thường thôi mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực	NEG	1
quần đợt 2 đặt tận 7 chiếc mà chất quần hoàn toàn xa với đợt 1	POS	5
99k cũng đáng mua	POS	5
quần đẹp vừa form positive	POS	5
giao hàng nhanh	POS	5
chất vải xấu xù nagative	NEG	2
sản phẩm tạm được hơi rộng so với mình positive	NEU	3
đẹp chất mềm mại mặc rất thích chủ cửa hàng nhiệt tình chất lượng sản phẩm tuyệt vời cửa hàng phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh positive positive positive positive positive positive	POS	5
giày nhem nhuốc ố bẩn box nát nagative	NEG	1
rất đáng tiền tuy nhiên vải notpos  co giãn lắm nếu là bạn gái từ 55k trở lên thì khó mặc nagative	NEU	3
đủ số lượng	POS	4
áo y hình chất lượng sản phẩm tuyệt vời positive positive	POS	5
rất ưng ý và chất lượng positive positive	POS	5
mật để trong tủ lạnh bị đóng sệt lại khoảng không trong chai không di chuyển như mật mình mua ở địa phương nagative	NEG	2
áo sờ chất rất thích positive	POS	4
váy quá đẹp mặc lên rất tôn da positive	POS	5
mình xài hộp màu xanh sao lại thấy không thơm nhỉ	POS	4
giao hàng nhanh giống hình	POS	5
cửa hàng tặng thêm bánh và 1 đôi tất lười nữa đáng yêu positive positive nagative positive	POS	5
hàng chất lượng tốt mang đi êm positive positive positive	POS	5
chất lượng sản phẩm tuyệt vời nhưng màu không giống hình minh đặt positive positive	POS	4
người giao hàng rất có tâm đấy ạ	POS	5
hàng tốt i như trong hình positive	POS	5
giao hàng khá chậm nagative	NEG	2
áo đẹp hơi mỏng positive nagative	NEU	3
đúng hàng loại 1 có khác từ cách đóng gói đến chất lượng sản phẩm quá tốt positive positive positive	POS	5
chất lượng sản phẩm tuyệt vời ngon bổ re cửa hàng a positive positive positive	POS	5
màn hình to và khá là hd	POS	5
áo khá mỏng và cụt hơn mình nghĩ đóng gói sản phẩm ok nagative positive	NEG	2
quần chưa kịp mặc đã bục 1 đoạn	NEG	2
mình 48kg	NEU	3
mình mua sản phẩm chất giống ảnh gói hàng đẹp giao hàng nhanh giá cả hợp lý positive positive	POS	4
chất áo thì không phải lăn tăn luôn nhưng form hơi to	POS	4
cửa hàng còn có quà tặng kèm và thẻ tích điểm	POS	5
mạng chạy chậm quá nagative	NEG	1
vừa khít bụng mình mà notnag  hằn cấn	POS	4
mua lần 2	POS	4
chất lượng sản phẩm tốt positive positive	POS	5
rất ưng ý positive positive  positive  positive	POS	5
hàng thì siêu yêu siêu mềm mịn positive positive positive	POS	5
chất liệu vải tốt so với giá 100k positive	POS	4
chất lượng sản phẩm tạm được thời gian giao hàng tạm được đóng gói sản phẩm tạm được positive positive positive positive	NEU	3
đóng gói kĩ áo còn lại đẹp positive	POS	5
giao nhầm hàng nhắn tin cửa hàng không trả lời nagative nagative nagative nagative	NEG	1
màu bạc rất sáng lấp lánh hơn màu hồng positive	POS	4
chất áo dày dặn form áo đẹp positive	POS	5
ống quần bên to bên nhỏ cỡ s và l bằng nhau	NEG	2
đóng gói gọn gàng đẹp đẽ chất lượng sản phẩm tuyệt vời rất đáng tiền thời gian giao hàng rất nhanh positive positive	POS	5
chất lượng sản phẩm tương xứng giá tiền mua mặc thay đổi kiểu thì ok positive positive	POS	5
ốc hơi lỏng cho thêm cái vặn vít không đang bao nhiêu nhưng quý hơn cái dây kia bạn ạ	NEU	3
chất lượng sản phẩm tuyệt vời positive positive	POS	5
cửa hàng phục vụ rất tốt hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn lấy giá sale hàng rất oke cám ơn cửa hàng positive positive positive positive	POS	5
ren hơi mềm nên làm dáng áo notpos  cứng nâng ngực tạm được positive positive	POS	4
giao hàng lâu nagative	NEG	2
sz 34 mà khung ngực nhỏ quá	NEG	2
đóng gói sản phẩm rất đẹp và chắc chắn positive positive	POS	5
hàng y hình rất đẹp ạ positive  positive	POS	5
thái đô kém thời gian giao hàng rất chậm cửa hàng phục vụ rất kém nagative	NEG	1
bàn tay mỏng nên không nâng lắm nagative	NEG	2
đẹp lắm đấy positive	POS	4
áo giống hình chất vải hơi nóng	POS	4
đóng gỏi notpos  cửa hàng nên đong hộp cứng đỡ bị móp bẹp túi nagative nagative	NEG	1
giao hàng nhanh mua sản phẩm thì hỏi kĩ trước tránh thất vọng nagative	NEU	3
đóng gói sản phẩm rất đẹp và chắc chắc positive	POS	5
thời gian giao hàng rất nhanh dầy dặn đẹp positive	POS	5
có giống hình nhưng vải rất mỏng notpos  như trong hình giá tiền tương đương với sản phẩm nagative	NEG	2
chủ cửa hàng tư vấn rất nhiệt tình đầm lên form rất đẹp hợp với dáng mình còn được tặng kèm qà positive positive positive	POS	5
váy còn đẹp và chuẩn hơn trong hình nữa positive positive	POS	5
sz 2 bộ xanh và hồng không giống nhau	NEG	1
áo rẻ đẹp phù hợp giá tiền positive positive	POS	4
áo vải cực đẹp y hình có điều to hơn mong đợi positive	POS	5
chất lượng sản phẩm tuyệt vời positive positive	POS	5
chất lượng sản phẩm tuyệt vời đồ rất đẹp sẽ ủng hộ cửa hàng tiếp positive positive positive	POS	5
sản phản mới chất lượng sản phẩm tuyệt vời positive positive	POS	5
giao hàng nhanh positive positive	POS	5
rất ngon nhưng mà theo em thì nên xé nhỏ khô lại positive nagative	POS	4
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh positive  positive 🙈 positive positive positive positive positive	POS	5
chất ok á nhưng trả lời nhắn tin thì hơi lâu positive nagative	POS	4
luôn ủng hộ cửa hàng	POS	5
âm thanh rất dở	NEG	1
xấu và nhìn phom áo chán đời luôn nagative nagative	NEG	1
chất lượng sản phẩm tốt đáng đồng tiền positive positive	POS	5
chuẩn quần vải đẹp ôm gọn chân mà vải còn mát nữa positive positive positive	POS	5
cửa hàng vận chuyển hàng nhanh váy khá ổn mà còn được tặng quà nữa positive lắc tay nhỏ nhỏ xinh xinh khi nào đeo cho bé nhà positive positive positive positive	POS	5
nhìn cái áo cũ màu notpos  vãi mỏng không đág tiền lắm nagative	NEG	2
đập vào mắt là 175000 ₫ làm mất hứng sản phẩm được màu đậm hơn hình áo có mùi như thuốc tẩy giặt mãi không hết positive nagative	NEG	2
chuẩn hàng bitis positive	POS	4
màu notpos  như hình chup	NEG	1
hàng đẹp giao nhanh positive	POS	5
chất lượng sản phẩm tuyệt vời vải ok thích hợp cho những ai thích mang form rộng lắm nè positive positive positive positive positive	POS	5
hợp với giá 130k	POS	5
form áo xấu lắm mặc lên như tá điền chỗ tà áo bên dưới rất dài chứ không ngăn như ảnh mẫu mặc bảo sao thấy quay clip gập đôi áo vào nagative	NEG	2
thời gian giao hàng rất nhanh	POS	5
công nghệ hơi lạ không biết có bền ko	NEU	3
gối hơi nhỏ	NEG	2
áo nhìn xinh cửa hàng nói chuyện cực đáng yêu positive positive	POS	5
chất lượng sản phẩm tạm được chiều dài áo ngắn quá positive positive nagative	NEU	3
mùi len hơi nặng đã giặt nhưng vẫn còn nặng mùi nagative nagative	NEG	1
vải ok lắm luôn positive	POS	5
sản phẩm tạm được đóng gói notpos  positive	NEG	2
chưa thấy cửa hàng nào hãm l thế này	NEG	1
sản phẩm rất ok kể cả áo trong của nữ chất vải cũng mềm đẹp mang lên sang chảnh tui mình diện đi sinh nhật ai cũng khen đẹp đôi nói chung là rất hài lòng positive positive positive positive positive positive	POS	5
tầm giá là sử dụng tot	POS	5
notpos dùng 	NEG	2
chất lượng sản phẩm tạm được áo hơi ngắn so với hình positive positive nagative	NEG	2
sản phẩm tôt giao hang nhanh	POS	4
hàng bình thường	NEU	3
k con duong nao de che	NEG	1
chất vải ok dày dặn positive	POS	5
ưng positive	POS	4
nay mua thêm 1 combo nữa	NEU	3
áo đẹp lam cửa hàng ui mình rat thix positive	POS	5
thời gian giao hàng nhanh	POS	5
rất ưng hi positive	POS	5
k giao	NEG	2
màu sắc không giống hình	NEG	2
áo vải quá xấu nagative	NEG	1
nói chung là mình mua mặc đi làm ok đáng tiền positive	POS	5
cửa hàng nhiệt tình giúp đỡ chất lượng quần thì khỏi chê dài rộng gì cũng vừa ý mình hết positive positive	POS	5
yêu cầu đổi trả cửa hàng yêu cầu gửi ảnh gửi cho rồi im lặng	NEG	2
thời gian giao hàng rất nhanh rất đáng tiền cửa hàng phục vụ rất tốt đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn positive positive positive positive positive positive positive positive positive positive positive	POS	5
hàng notpos  và không như quả ng cáo	NEG	2
cửa hàng phục vụ rất tốt positive	POS	5
nói chung là notnag  đâu	POS	4
chất lượng sản phẩm tuyệt vời positive positive	POS	5
sản phẩm giống hình	NEU	3
giầy hơi cứng chất lượng sản phẩm tạm được positive positive	NEU	3
sờ chất quần thì ok luôn positive	POS	4
vay đẹp kỹ tu van nhiet tinh positive positive	POS	5
y hình	POS	5
nt không trả lời	NEG	2
chất lượng vừa với giá tiền positive	POS	4
sẽ ủng hộ cửa hàng dài	POS	5
hàng chất lượng hơn giá sản phẩm nhak mọi người positive	POS	4
áo rách ntn không hiểu phải mặc ntn luôn nagative	NEG	1
nhưng cũng phù hợp với giá tiền mặc vẫn ok positive positive	POS	4
đồ mặc vừa thun hơi ôm dễ thấy bụng positive	POS	4
chọn màu này lấy màu kia	NEG	2
hàng tương đối ổn mình khá hài lòng positive positive	POS	4
inbox không thèm trả lời	NEG	2
mình mua 2 chai về tàng trữ dần vì loại này vừa tẩy sạch vừa không dễ gây mụn như dầu tẩy trang	POS	5
mất uy tín positive	NEG	1
màu ngoài không giống trong ảnh nhưng chất lượng khá ok với giá positive positive	POS	4
rất ưng positive	POS	5
cửa hàng giao hàng nhanh gửi đúng màu áo giống hình mặc dù chất vải notpos  như mong muốn nhưng vẫn cho cửa hàng 5star positive	POS	4
cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh positive	POS	5
giày đẹp lắm giao hàng lâu quá mun điên positive nagative	POS	4
cửa hàng giao siêu nhanh	POS	5
giao hàng nhanh	POS	5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền thời gian giao hàng tạm được đáng đồng tiền positive positive positive positive positive	POS	4
chất lượng sản phẩm tuyệt vời positive positive	POS	5
vừa ý	POS	4
4 quần cỡ l nhưng lại bị cái to cái bé còn với giá tiền nvay thì cũng không mong chất đẹp hơn nagative positive	POS	4
cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh positive	POS	5
nhưng notpos sao  cửa hàng	POS	4
chất lượng sản phẩm tốt nhưng giao hàng chậm onl cũng chẳng trả lời gì positive positive nagative	POS	4
vài thun rất mỏng không fai len nagative	NEG	1
đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt positive positive positive positive positive positive	POS	5
đóng gói sản phẩm chắc chắn cửa hàng giao hàng nhanh nhận ngay 20 10 positive về sản phẩm thì chất vải cũng được hợp mặc mùa thu áo đẹp nhưng mà cửa hàng nên kiểm tra kĩ sản phẩm đi ạ nagative áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh xanh ở gần đuôi áo nagative chưa kể lúc mở hàng ra thì bị ngay cái dằm suýt đâm vào tay nagative positive positive positive nagative	POS	4
cửa hàng giao hàng cực nhanh lun trưa hom qua đặt mà trưa nay đã giao	POS	5
thêm tin tưởng vào cửa hàng e positive	POS	4
áo vải đẹp mịn mát positive positive positive	POS	5
chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh positive positive	POS	5
chủ cửa hàng nhiệt tình positive	POS	5
rất đáng tiền	POS	5
sản phẩm rất đẹp positive	POS	5
hơi thô nagative	NEG	2
vãi rất mỏng nagative	NEG	2
hàng y như hình	NEU	3
đẹp lại rẻ positive	POS	5
chất lượng sản phẩm tuyệt vời ưng sẽ ủng hộ cửa hàng dài giao hàng nhanh positive positive positive	POS	5
quay lại sửa đánh giá sau khi tung tăng mặc váy diện muôn nơi váy chất không có gì để chê tuyệt vời dày dặn mặc đúng kiểu chùm chân mình thích che được mông cạp cao mặc lên eo ót với cả chân dài cả mét positive tuyệt vời cho 1 chiếc váy 159k positive positive positive positive positive	POS	5
ao mặc đẹp chất đẹp thời gian giao hàng rất nhanh positive positive	POS	5
giao hàng rất nhanh aó đẹp nói chung rất hài lòng positive positive	POS	5
đặt xanh đậm mà giao mảu xám thất vọng quá màu thấy củ xèm nagative	NEG	2
quả notpos   sản phẩm tạm được positive	NEG	2
áo chất đẹp cửa hàng phục vụ tốt positive positive	POS	4
đóng gói sản phẩm chắc chắn positive	POS	5
tôi rất hài lòng về sản phẩm positive	POS	5
chất lượng sản phẩm tuyệt vời rất ưng ý đồ đẹp positive positive positive	POS	5
cửa hàng lam ăn không uy tín sảm phẩm thì dỗm chát thì chặn positive	NEG	1
hàng rất ok positive positive	POS	5
cl phù hợp giá tiền positive	NEU	3
đúng hình ảnh đẹp positive positive	POS	5
mẫu cũng đa dạng	POS	5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn positive positive positive positive	POS	5
hết hàng thì phải báo với khách chứ đằng này vẫn giao	NEG	2
ban đầu mình nghĩ là ren mỏng nhưng nhận được thì thấy ren đẹp hơn mình tưởng tượng nagative positive positive	POS	5
đẹp vừa ý positive	POS	4
tuyệt ạ giày nhẹ êm positive	POS	5
đúng mỗi 1 màu positive	NEG	2
sản phẩm chất lượng	POS	4
cổ áo bị rách cửa hàng nên ktra kĩ trc khi giao mình 40 không cao 1 55m mà mặc hơi chật nagative nagative nagative	NEG	1
đóng gói kỹ positive	POS	5
gói hàng cẩn thận positive	POS	5
cảm ơn cửa hàng nhìu positive	POS	4
đây là lần thứ 2 mua sản phẩm của cửa hàng giày đẹp cách phục vụ tốt positive sẽ ủng hộ cửa hàng nhiều nữa positive positive	POS	5
son lên màu đẹp notnag  khô cứng và lộ vân môi như màu 12 rất đáng tiền positive	POS	5
cảm ơn cửa hàng nhé positive	POS	4
giống hình mà vải hơi cứng bạn ạk	POS	4
chất áo đẹp lắm yêu cửa hàng positive positive	POS	5
quần của cửa hàng quá đẹp luôn positive	POS	5
minh lay cỡ lớn nhất cho rộng roi cỡ xl mà nhìn thay bé hơn quần củ chồng mình 72 không sản phẩm chất thì nhìn tốt đóng gói sản phẩm rất đẹp và chắc chắn positive positive positive	POS	5
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh rất đáng tiền positive positive positive positive positive positive positive positive	POS	5
chất thì ok nhưng cổ áo không giống hình cổ áo không rộng mà ôm positive	NEU	3
đặt 2 quần dài mà đóng gói cho 1 quần ngố	NEG	2
khuyến khích cho 5star positive	POS	5
nét chữ notpos  rõ sản phẩm có mùi hơi kinh nagative	NEG	1
mặc phối với chân váy hay gì ean đều đẹp positive	POS	5
nhưng ghtk thu tròn 110 000 đ	NEG	2
không giống hình cho lắm nhưng chất lượng cũng ok mua 3 mà mỗi sản phẩm này là được positive positive positive	NEU	3
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn sácg hay positive positive positive positive	POS	5
đóng gói sản phẩm chắc chắn giao hàng rất nhanh positive	POS	5
chất lượng sản phẩm kém không giống như mô tả positive	NEG	2
đáng tiền	POS	5
váy mặc siêu xinh positive	POS	5
thời gian giao hàng rất nhanh hàng y hình	POS	4
vải thì rất đẹp positive	POS	5
tiền nào cũa náy	NEU	3
tốt positive	POS	5
áo rộng hơn hình nhiều	NEG	2
đóng gói sản phẩm rất đẹp và chắc chắn positive positive	POS	5
kem bên trong là màu trắng khác với kem ngày là màu vàng nhẹ thời gian giao hàng chậm nagative	NEU	3
áo from rộng như ảnh	POS	5
chất liệu vải ổn nhưng hơi rộng positive	NEU	3
ship notpos  màu	NEG	1
vãi nĩ dày nóng	NEG	2
cửa hàng phục vụ rất tốt chất lượng sản phẩm ok positive positive positive	POS	5
ngon đấy nhưng đang ăn thì ăn phải cọng thun positive	NEG	2
khá ok positive sẽ ủng hộ cửa hàng tiếp positive	POS	4
đẹp lắm nha positive	POS	5
áo vừa quá	POS	5
thời gian giao hàng nhanh	POS	4
áo đẹp lắm b ơi positive	POS	5
màu thì notpos  giống trong hình	NEG	1
chất lượng vải kém không như hình positive	NEG	2
đã quay video và chụp ảnh nhưng cửa hàng không phản hồi	NEG	2
quần thoải mái vừa vặn đẹp cửa hàng phục vụ rất tốt positive positive positive	POS	5
vận chuyển hàng không nhắt lót vào cặp nên cắp bị méo mất dág nagative	NEG	2
giao 2 sản phẩm trat lat het 2 sản phẩm minh la de ch yêu nhat hi ua hang hoi that vong positive	NEG	2
ngày qua flash sale 39k chai hết flash lên 55k xong 50k	NEU	3
đóng gói sản phẩm rất đẹp và chắc chắn positive positive	POS	4
chất được positive	POS	5
chất lượng sản phẩm tuyệt vời hợp với giá tiền sờ siêu thích màu random nhưng đẹp lắm ạ positive positive positive positive	POS	5
mật ong loãng không đặc sánh lắm	NEG	2
sẽ tiếp tục ủng hộ cửa hàng dài lâu nagative	POS	5
dép đi êm và mềm positive	POS	4
váy đẹp vải thì mình thấy pha nilon nên hơi nóng positive	NEU	3
chất tạm được tương sứng giá tiền positive	POS	5
giao hàng và chăm sóc tận tình	POS	5
giá tốt nhưng giao hàng chậm quá không có số đt liên hệ khi cần gấp positive nagative	NEU	3
cửa hàng cho doi tra ok positive	NEU	3
thật sự mình quá ưng cho 1 sản phẩm rẻ mà chất lượng positive positive	POS	5
lọc ổn nhưng hi vọng cửa hàng đóng hàng kĩ hơn positive	POS	4
vải mỏng thô hơn mình tưởng tượng nagative nagative	NEU	3
giao hàng nhanh	POS	5
thời gian giao hàng nhanh chất lượng sản phẩm tốt đóng gói sản phẩm chắc chắn cửa hàng phục vụ khá tốt positive positive positive positive	POS	5
áo màu sắc tươi sáng vải chất ạ	POS	5
cửa hàng rất thái độ với khách hàng	NEG	1
bị chật ngắn nagative nagative nagative	NEG	2
cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh chất lượng sản phẩm tuyệt vời rất đáng tiền positive positive positive	POS	5
được tốt positive positive	POS	5
chất lượng sản phẩm tuyệt vời positive positive	POS	5
chất lượng sản phẩm quá tệ positive nagative	NEG	1
chủ cửa hàng nhiệt tình dễ thương positive positive	POS	5
giao hàng nhanh	POS	4
đàn nhìn cưng lắm 🎶 🎵 🎶	POS	4
chất lượng sản phẩm tuyệt vời quần hơi mỏng ạ positive positive nagative	POS	4
chất lượng sản phẩm rất kém cửa hàng phục vụ rất kém rất không đáng tiền cửa hàng phục vu qua kem nhan tin ve so tien se hoan lai thi không thay tra lỏi gì het positive	NEG	1
nhưng khá ok rồi positive	POS	4
positive ưng lắm ạ giày đẹp lắm nha m n đi êm mà dễ phối đồ cực positive positive	POS	5
chả ra gì cả chất lượng kém positive	NEG	1
gui sai một sản phẩm còn lại chất lượng tốt nagative positive positive	NEU	3
chất rất oke	POS	5
rất ưng mặc thoải mái mà chất vải rất thích positive positive positive	POS	5
nhưng mà cửa hàng nói có tặng kèm dây đàn mà mình nhận được không có ạ positive	NEG	2
cửa hàng phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh rất ưng positive positive	POS	5
rất ưng ý positive sẽ tiếp tục mua để ủng hộ cửa hàng positive	POS	5
chứ nhận hàng hết cả hồn ngâm xà bông chà mãi vẫn notpos 	NEG	1
ai thích mua chọn cỡ lớn hơn 2 cỡ ok hơn positive positive	POS	4
đẹp hút hồn positive	POS	5
giao hàng cũng nhanh positive	POS	4
giá còn rẻ	POS	4
đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tốt đóng gói sản phẩm rất đẹp và chắc chắn positive positive positive positive positive positive	POS	5
sản phẩm bị ỉu không giòn và cũng không có thời hạn sử dụng trên bao bì nagative	NEG	2
notnag  chất liệu 	NEG	2
chất lượng sản phẩm tuyệt vời cửa hàng này uy tín quá positive positive positive	POS	5
vải kate thun mỏng nhẹ mát nagative	POS	5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt positive positive positive positive positive	POS	5
chất vải được positive	POS	4
sản phẩm đẹp ổn chắc chắn mà lại rẻ hơn so với mình mua ngoàí cửa hàng đắt mà mặc notpos  1 hôm đã đứt khuy positive positive positive nagative	POS	5
áo sơ mi đẹp giống hình positive	NEU	3
đóng gói đẹp giao đúng hàng sản phẩm chất lượng giá tốt rất hài lòng cửa hàng ơi sẽ tiếp tục ủng hộ nè positive positive positive positive	POS	5
tuy nhiên mình mua 2 cái thì cái cỡ l ở tay áo bị viết số màu xanh lên chỗ tay áo mình giặt không ra nagative	NEG	1
cửa hàng đóng gói cẩn thận có kèm 1 tờ thiệp và 1 tờ rơi giới thiệu nữa positive positive	POS	5
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vờio positive positive positive positive positive	POS	5
ko ưng y lam positive	NEG	2
cửa hàng e nên coi lại chọn người bán cho c9s kinh nghiệm chút	NEG	2
chất lượng sản phẩm tuyệt vời positive positive	POS	5
giờ chẳng biết làm gì với cái áo đó	NEG	1
ncl rất ưng positive	POS	5
thời gian giao hàng rất nhanh	POS	5
kem thẩm thấu rất nhanh thoa xong sáng dậy có cảm giác căng da và mịn hơn còn việc chống lão hoá thì phải xài hết mới biết kết quả positive	POS	4
chất lượng ok mỗi tội bụng rộng quá lại phải sửa positive positive	NEU	3
cửa hàng phục vụ rất tốt positive	POS	5
chất áo mỏng nagative	NEU	3
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn positive positive positive positive	POS	5
đóng gói sản phẩm tốt cần thêm hộp đựng sẽ tốt hơn positive positive	POS	4
chất liệu vải thì cũng tạm được chán cái đường chỉ 1 cái thì bục chỉ ở túi còn 1 cái máy cả vào chun positive nagative	NEG	2
đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn áo khá to so với mình nên bạn nào muốn mua cỡ l mà tướng người nhỏ bé thì nên chọn soze mình nha được tặng móc khoá hình gì inmin thích lắm positive positive positive positive positive positive positive	POS	5
hàng chuẩn uy tín positive positive	POS	4
mua 2 chai mà mới xịt được 1 lần thì hư mất cái nắp positive nagative	NEU	3
thời gian giao hàng rất nhanh	POS	5
đặt hàng không giao hàng là sao vậy á	NEG	1
hơi mỏng positive không như mong đợi nagative	NEG	2
ủng hộ cửa hàng ngàn sao luôn nè positive positive	POS	5
hic	NEG	2
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chủ s nhiệt tình vui tính positive positive positive positive positive positive	POS	4
giao hàng nhanh	POS	4
chất lượng khá tốt positive positive	POS	4
vải dày và co giãn tốt positive	POS	4
nhưng nếu màu hồng tươi thì ok positive positive	POS	4
vải rất đẹp positive	POS	5
chất lượng sản phẩm tốt đóng gói sản phẩm chắc chắn cửa hàng phục vụ khá tốt thời gian giao hàng hơi chậm positive positive positive positive nagative	NEU	3
áo này dày hơn và chất đẹp hơn cái màu trắng mk mua positive	POS	4
mình 50 không bầu 4 tháng mua cỡ 2xl mà mặc vừa zin dáng quần đẹp mấy nữa bụng to tí phải mua cỡ to hơn thôi positive positive	NEU	3
chất lượng sản phẩm tuyệt vời positive positive	POS	5
nỉ ấm và dày positive	POS	5
có chút trục trặc nhưng sửa lại thì vẫn đẹp nagative positive	POS	4
chất lượng sản phẩm tuyệt vời positive positive	POS	5
chất áo đẹp lên dáng ok mỗi tội mặc hơi ngứa 1 tí đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh positive positive nagative positive positive	POS	5
giao lâu nagative	NEG	2
chất dai đanh và lì mặt	NEU	3
giao hàng thì thôi nhah khỏi nói	POS	4
đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh vải áo hơi mỏng positive positive nagative	POS	4
muốn làm đại lý sỉ	POS	5
san phạm nay vua cửa hàng e qua do mua ve toi notpos xay  ngay ca khoai tay nau chín ma xay con không nhuyễn nua	NEU	3
cỡ hơi to nhỉ 45 không 1m50 cỡ s rồi mà hơi rộng	POS	4
chất lượng sản phẩm tạm được trượt cơ học khá dít gây khó khăn cho sử dụng positive positive nagative	NEG	2
nhưng áo khiến mình hơi thất vọng nagative	NEG	2
